city1,city2,scaled_flow
DongGuan,FoShan,62.88724643328
DongGuan,GuangZhou,261.12950524583994
DongGuan,HuiZhou,215.71862203368002
DongGuan,JiangMen,17.0539486344
DongGuan,ShenZhen,569.60607902112
DongGuan,ZhaoQing,13.71951041616
DongGuan,ZhongShan,31.763280618
DongGuan,ZhuHai,14.117857509599997
FoShan,GuangZhou,650.4840056073599
FoShan,HuiZhou,21.179571844319995
FoShan,JiangMen,85.00731877656001
FoShan,ShenZhen,54.8059128246
FoShan,ZhaoQing,117.03916648332
FoShan,ZhongShan,129.0689475048
FoShan,ZhuHai,19.284303050279995
GuangZhou,HuiZhou,92.67873424775999
GuangZhou,JiangMen,61.34249817432001
GuangZhou,ShenZhen,178.27630027056006
GuangZhou,ZhaoQing,71.5164763896
GuangZhou,ZhongShan,85.3529494158
GuangZhou,ZhuHai,43.24555498392
HuiZhou,JiangMen,4.68679813812
HuiZhou,ShenZhen,328.1148183707999
HuiZhou,ZhaoQing,4.3012674324
HuiZhou,ZhongShan,8.668589870880002
HuiZhou,ZhuHai,4.891379218560001
JiangMen,ShenZhen,18.394058025
JiangMen,ZhaoQing,9.57117917844
JiangMen,ZhongShan,73.39084801632
JiangMen,ZhuHai,25.641024086519998
ShenZhen,ZhaoQing,10.96633026972
ShenZhen,ZhongShan,45.1732532166
ShenZhen,ZhuHai,26.538934840199996
ZhaoQing,ZhongShan,10.57693857336
ZhaoQing,ZhuHai,3.958808532480001
ZhongShan,ZhuHai,222.31255569408
